Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
03/01/2020,Albany,0,0,0,0
03/02/2020,Albany,0,0,0,0
03/03/2020,Albany,0,0,0,0
03/04/2020,Albany,0,0,0,0
03/05/2020,Albany,0,0,3,3
03/06/2020,Albany,0,0,0,3
03/07/2020,Albany,0,0,5,8
03/08/2020,Albany,0,0,2,10
03/09/2020,Albany,0,0,3,13
03/10/2020,Albany,0,0,2,15
03/11/2020,Albany,0,0,13,28
03/12/2020,Albany,1,1,11,39
03/13/2020,Albany,2,3,26,65
03/14/2020,Albany,3,6,108,173
03/15/2020,Albany,6,12,108,281
03/16/2020,Albany,11,23,140,421
03/17/2020,Albany,13,36,267,688
03/18/2020,Albany,7,43,331,1019
03/19/2020,Albany,18,61,450,1469
03/20/2020,Albany,27,88,499,1968
03/21/2020,Albany,35,123,577,2545
03/22/2020,Albany,4,127,197,2742
03/23/2020,Albany,19,146,144,2886
03/24/2020,Albany,6,152,198,3084
03/25/2020,Albany,19,171,93,3177
03/26/2020,Albany,16,187,112,3289
03/27/2020,Albany,8,195,101,3390
03/28/2020,Albany,10,205,73,3463
03/29/2020,Albany,12,217,61,3524
03/30/2020,Albany,9,226,72,3596
03/31/2020,Albany,14,240,108,3704
04/01/2020,Albany,13,253,106,3810
04/02/2020,Albany,14,267,105,3915
04/03/2020,Albany,26,293,123,4038
04/04/2020,Albany,12,305,117,4155
04/05/2020,Albany,14,319,89,4244
04/06/2020,Albany,14,333,86,4330
04/07/2020,Albany,9,342,74,4404
04/08/2020,Albany,37,379,229,4633
04/09/2020,Albany,47,426,332,4965
04/10/2020,Albany,20,446,159,5124
04/11/2020,Albany,32,478,223,5347
04/12/2020,Albany,21,499,193,5540
04/13/2020,Albany,36,535,216,5756
04/14/2020,Albany,13,548,106,5862
04/15/2020,Albany,33,581,301,6163
04/16/2020,Albany,38,619,273,6436
04/17/2020,Albany,29,648,291,6727
04/18/2020,Albany,34,682,305,7032
04/19/2020,Albany,5,687,103,7135
04/20/2020,Albany,17,704,164,7299
04/21/2020,Albany,33,737,236,7535
04/22/2020,Albany,21,758,178,7713
04/23/2020,Albany,47,805,319,8032
04/24/2020,Albany,94,899,626,8658
04/25/2020,Albany,49,948,402,9060
04/26/2020,Albany,31,979,263,9323
04/27/2020,Albany,30,1009,197,9520
04/28/2020,Albany,58,1067,351,9871
04/29/2020,Albany,98,1165,439,10310
04/30/2020,Albany,39,1204,378,10688
05/01/2020,Albany,34,1238,434,11122
05/02/2020,Albany,20,1258,441,11563
05/03/2020,Albany,29,1287,391,11954
05/04/2020,Albany,7,1294,130,12084
05/05/2020,Albany,27,1321,367,12451
05/06/2020,Albany,27,1348,407,12858
05/07/2020,Albany,36,1384,385,13243
05/08/2020,Albany,32,1416,488,13731
05/09/2020,Albany,16,1432,455,14186
05/10/2020,Albany,24,1456,384,14570
05/11/2020,Albany,23,1479,341,14911
05/12/2020,Albany,15,1494,335,15246
05/13/2020,Albany,15,1509,546,15792
05/14/2020,Albany,29,1538,541,16333
05/15/2020,Albany,34,1572,482,16815
05/16/2020,Albany,7,1579,411,17226
05/17/2020,Albany,31,1610,342,17568
05/18/2020,Albany,45,1655,398,17966
05/19/2020,Albany,27,1682,697,18663
05/20/2020,Albany,18,1700,650,19313
05/21/2020,Albany,56,1756,920,20233
05/22/2020,Albany,14,1770,655,20888
05/23/2020,Albany,12,1782,438,21326
05/24/2020,Albany,9,1791,378,21704
05/25/2020,Albany,2,1793,328,22032
05/26/2020,Albany,3,1796,369,22401
05/27/2020,Albany,18,1814,666,23067
05/28/2020,Albany,20,1834,416,23483
05/29/2020,Albany,9,1843,521,24004
05/30/2020,Albany,17,1860,760,24764
05/31/2020,Albany,22,1882,537,25301
06/01/2020,Albany,18,1900,618,25919
06/02/2020,Albany,20,1920,1170,27089
06/03/2020,Albany,10,1930,817,27906
06/04/2020,Albany,11,1941,1179,29085
06/05/2020,Albany,12,1953,1164,30249
06/06/2020,Albany,8,1961,751,31000
06/07/2020,Albany,17,1978,1194,32194
06/08/2020,Albany,5,1983,616,32810
06/09/2020,Albany,3,1986,569,33379
06/10/2020,Albany,10,1996,774,34153
06/11/2020,Albany,11,2007,1103,35256
06/12/2020,Albany,9,2016,739,35995
06/13/2020,Albany,4,2020,874,36869
06/14/2020,Albany,2,2022,496,37365
06/15/2020,Albany,4,2026,577,37942
06/16/2020,Albany,3,2029,592,38534
06/17/2020,Albany,5,2034,843,39377
06/18/2020,Albany,15,2049,1070,40447
06/19/2020,Albany,4,2053,610,41057
06/20/2020,Albany,1,2054,784,41841
06/21/2020,Albany,6,2060,931,42772
06/22/2020,Albany,2,2062,427,43199
06/23/2020,Albany,3,2065,586,43785
06/24/2020,Albany,11,2076,1325,45110
06/25/2020,Albany,8,2084,630,45740
06/26/2020,Albany,7,2091,799,46539
06/27/2020,Albany,6,2097,762,47301
06/28/2020,Albany,2,2099,514,47815
06/29/2020,Albany,3,2102,543,48358
06/30/2020,Albany,10,2112,731,49089
07/01/2020,Albany,13,2125,928,50017
07/02/2020,Albany,5,2130,805,50822
07/03/2020,Albany,15,2145,970,51792
07/04/2020,Albany,7,2152,1098,52890
07/05/2020,Albany,8,2160,626,53516
07/06/2020,Albany,4,2164,421,53937
07/07/2020,Albany,11,2175,1020,54957
07/08/2020,Albany,8,2183,1260,56217
07/09/2020,Albany,7,2190,625,56842
07/10/2020,Albany,18,2208,1252,58094
07/11/2020,Albany,11,2219,815,58909
07/12/2020,Albany,6,2225,594,59503
07/13/2020,Albany,22,2247,1139,60642
07/14/2020,Albany,33,2280,860,61502
07/15/2020,Albany,10,2290,1065,62567
07/16/2020,Albany,20,2310,1098,63665
07/17/2020,Albany,5,2315,816,64481
07/18/2020,Albany,3,2318,335,64816
07/19/2020,Albany,4,2322,877,65693
07/20/2020,Albany,29,2351,1354,67047
07/21/2020,Albany,18,2369,981,68028
07/22/2020,Albany,32,2401,975,69003
07/23/2020,Albany,25,2426,896,69899
07/24/2020,Albany,12,2438,632,70531
07/25/2020,Albany,13,2451,817,71348
07/26/2020,Albany,2,2453,820,72168
07/27/2020,Albany,15,2468,929,73097
07/28/2020,Albany,12,2480,843,73940
07/29/2020,Albany,13,2493,763,74703
07/30/2020,Albany,10,2503,745,75448
07/31/2020,Albany,12,2515,1055,76503
08/01/2020,Albany,6,2521,463,76966
08/02/2020,Albany,10,2531,529,77495
08/03/2020,Albany,12,2543,770,78265
08/04/2020,Albany,13,2556,1218,79483
08/05/2020,Albany,9,2565,800,80283
08/06/2020,Albany,8,2573,757,81040
08/07/2020,Albany,8,2581,946,81986
08/08/2020,Albany,14,2595,903,82889
08/09/2020,Albany,5,2600,739,83628
08/10/2020,Albany,14,2614,1127,84755
08/11/2020,Albany,10,2624,1451,86206
08/12/2020,Albany,12,2636,1052,87258
08/13/2020,Albany,3,2639,1173,88431
08/14/2020,Albany,4,2643,1109,89540
08/15/2020,Albany,11,2654,1142,90682
08/16/2020,Albany,3,2657,700,91382
08/17/2020,Albany,4,2661,991,92373
08/18/2020,Albany,14,2675,1197,93570
08/19/2020,Albany,9,2684,1750,95320
08/20/2020,Albany,7,2691,1443,96763
08/21/2020,Albany,2,2693,1336,98099
08/22/2020,Albany,6,2699,1263,99362
08/23/2020,Albany,2,2701,490,99852
08/24/2020,Albany,10,2711,972,100824
08/25/2020,Albany,7,2718,1042,101866
08/26/2020,Albany,18,2736,1266,103132
08/27/2020,Albany,10,2746,1264,104396
08/28/2020,Albany,8,2754,1183,105579
08/29/2020,Albany,10,2764,1519,107098
08/30/2020,Albany,6,2770,594,107692
08/31/2020,Albany,16,2786,841,108533
09/01/2020,Albany,5,2791,1116,109649
09/02/2020,Albany,11,2802,1655,111304
09/03/2020,Albany,17,2819,899,112203
09/04/2020,Albany,4,2823,996,113199
09/05/2020,Albany,8,2831,824,114023
09/06/2020,Albany,2,2833,727,114750
09/07/2020,Albany,7,2840,665,115415
09/08/2020,Albany,6,2846,499,115914
09/09/2020,Albany,13,2859,724,116638
09/10/2020,Albany,23,2882,1326,117964
09/11/2020,Albany,14,2896,1386,119350
09/12/2020,Albany,19,2915,844,120194
09/13/2020,Albany,6,2921,555,120749
09/14/2020,Albany,15,2936,797,121546
09/15/2020,Albany,12,2948,997,122543
09/16/2020,Albany,21,2969,1084,123627
09/17/2020,Albany,10,2979,1229,124856
09/18/2020,Albany,27,3006,1322,126178
09/19/2020,Albany,10,3016,1147,127325
09/20/2020,Albany,8,3024,669,127994
09/21/2020,Albany,13,3037,776,128770
09/22/2020,Albany,6,3043,869,129639
09/23/2020,Albany,10,3053,1519,131158
09/24/2020,Albany,10,3063,1348,132506
09/25/2020,Albany,19,3082,1202,133708
09/26/2020,Albany,13,3095,1091,134799
09/27/2020,Albany,9,3104,789,135588
09/28/2020,Albany,12,3116,939,136527
09/29/2020,Albany,4,3120,925,137452
09/30/2020,Albany,13,3133,1496,138948
10/01/2020,Albany,20,3153,1343,140291
10/02/2020,Albany,22,3175,1783,142074
10/03/2020,Albany,15,3190,1052,143126
10/04/2020,Albany,11,3201,833,143959
10/05/2020,Albany,17,3218,1061,145020
10/06/2020,Albany,15,3233,1328,146348
10/07/2020,Albany,18,3251,2089,148437
10/08/2020,Albany,17,3268,2240,150677
10/09/2020,Albany,12,3280,2225,152902
10/10/2020,Albany,13,3293,1823,154725
10/11/2020,Albany,11,3304,819,155544
10/12/2020,Albany,20,3324,1393,156937
10/13/2020,Albany,19,3343,1278,158215
10/14/2020,Albany,26,3369,1823,160038
10/15/2020,Albany,14,3383,3007,163045
10/16/2020,Albany,15,3398,1318,164363
10/17/2020,Albany,18,3416,1354,165717
10/18/2020,Albany,11,3427,769,166486
10/19/2020,Albany,9,3436,997,167483
10/20/2020,Albany,24,3460,1466,168949
10/21/2020,Albany,28,3488,1454,170403
10/22/2020,Albany,28,3516,1856,172259
10/23/2020,Albany,33,3549,2694,174953
10/24/2020,Albany,28,3577,1148,176101
10/25/2020,Albany,13,3590,809,176910
10/26/2020,Albany,23,3613,1212,178122
10/27/2020,Albany,14,3627,1082,179204
10/28/2020,Albany,33,3660,2240,181444
10/29/2020,Albany,45,3705,2037,183481
10/30/2020,Albany,19,3724,1581,185062
10/31/2020,Albany,26,3750,1578,186640
11/01/2020,Albany,21,3771,905,187545
11/02/2020,Albany,31,3802,1432,188977
11/03/2020,Albany,43,3845,1169,190146
11/04/2020,Albany,32,3877,2982,193128
11/05/2020,Albany,65,3942,3059,196187
11/06/2020,Albany,82,4024,2976,199163
11/07/2020,Albany,25,4049,2845,202008
11/08/2020,Albany,46,4095,976,202984
11/09/2020,Albany,97,4192,1767,204751
11/10/2020,Albany,60,4252,4990,209741
11/11/2020,Albany,84,4336,2714,212455
11/12/2020,Albany,89,4425,3923,216378
11/13/2020,Albany,89,4514,3012,219390
11/14/2020,Albany,15,4529,1000,220390
11/15/2020,Albany,43,4572,1955,222345
11/16/2020,Albany,81,4653,1773,224118
11/17/2020,Albany,77,4730,1628,225746
11/18/2020,Albany,92,4822,2566,228312
11/19/2020,Albany,84,4906,4662,232974
11/20/2020,Albany,107,5013,2351,235325
11/21/2020,Albany,95,5108,3915,239240
11/22/2020,Albany,40,5148,1827,241067
11/23/2020,Albany,85,5233,2269,243336
11/24/2020,Albany,91,5324,2282,245618
11/25/2020,Albany,102,5426,2909,248527
11/26/2020,Albany,129,5555,2300,250827
11/27/2020,Albany,63,5618,1911,252738
11/28/2020,Albany,94,5712,2465,255203
11/29/2020,Albany,104,5816,2187,257390
11/30/2020,Albany,152,5968,2826,260216
12/01/2020,Albany,170,6138,2656,262872
12/02/2020,Albany,120,6258,2848,265720
12/03/2020,Albany,148,6406,3002,268722
12/04/2020,Albany,165,6571,4048,272770
12/05/2020,Albany,140,6711,2700,275470
12/06/2020,Albany,107,6818,1453,276923
12/07/2020,Albany,173,6991,2223,279146
12/08/2020,Albany,185,7176,1922,281068
12/09/2020,Albany,216,7392,3015,284083
12/10/2020,Albany,163,7555,3138,287221
12/11/2020,Albany,163,7718,2794,290015
12/12/2020,Albany,170,7888,2708,292723
12/13/2020,Albany,162,8050,1766,294489
12/14/2020,Albany,164,8214,1646,296135
12/15/2020,Albany,191,8405,2463,298598
12/16/2020,Albany,208,8613,3191,301789
12/17/2020,Albany,208,8821,3258,305047
12/18/2020,Albany,176,8997,2498,307545
12/19/2020,Albany,177,9174,2716,310261
12/20/2020,Albany,203,9377,2095,312356
12/21/2020,Albany,209,9586,2519,314875
12/22/2020,Albany,200,9786,2485,317360
12/23/2020,Albany,259,10045,2544,319904
12/24/2020,Albany,229,10274,4015,323919
12/25/2020,Albany,215,10489,2413,326332
12/26/2020,Albany,140,10629,1858,328190
12/27/2020,Albany,251,10880,1657,329847
12/28/2020,Albany,232,11112,1869,331716
12/29/2020,Albany,221,11333,2096,333812
12/30/2020,Albany,252,11585,2845,336657
12/31/2020,Albany,332,11917,3711,340368
01/01/2021,Albany,282,12199,2716,343084
01/02/2021,Albany,206,12405,1950,345034
01/03/2021,Albany,188,12593,1365,346399
01/04/2021,Albany,259,12852,2046,348445
01/05/2021,Albany,260,13112,2403,350848
01/06/2021,Albany,298,13410,3628,354476
01/07/2021,Albany,287,13697,3320,357796
01/08/2021,Albany,233,13930,3553,361349
01/09/2021,Albany,266,14196,2977,364326
01/10/2021,Albany,215,14411,2523,366849
01/11/2021,Albany,352,14763,2895,369744
01/12/2021,Albany,211,14974,2409,372153
01/13/2021,Albany,256,15230,2998,375151
01/14/2021,Albany,290,15520,3947,379098
01/15/2021,Albany,251,15771,3592,382690
01/16/2021,Albany,210,15981,2948,385638
01/17/2021,Albany,187,16168,1963,387601
01/18/2021,Albany,175,16343,2056,389657
01/19/2021,Albany,178,16521,2099,391756
01/20/2021,Albany,267,16788,3998,395754
01/21/2021,Albany,257,17045,3840,399594
01/22/2021,Albany,242,17287,3275,402869
01/23/2021,Albany,198,17485,2808,405677
01/24/2021,Albany,135,17620,2110,407787
01/25/2021,Albany,178,17798,2459,410246
01/26/2021,Albany,179,17977,2405,412651
01/27/2021,Albany,212,18189,3486,416137
01/28/2021,Albany,170,18359,3924,420061
01/29/2021,Albany,160,18519,3700,423761
01/30/2021,Albany,182,18701,3852,427613
01/31/2021,Albany,70,18771,1424,429037
02/01/2021,Albany,87,18858,1272,430309
02/02/2021,Albany,80,18938,1276,431585
02/03/2021,Albany,162,19100,2997,434582
02/04/2021,Albany,115,19215,5240,439822
02/05/2021,Albany,129,19344,3933,443755
02/06/2021,Albany,94,19438,2658,446413
02/07/2021,Albany,69,19507,1714,448127
02/08/2021,Albany,80,19587,1394,449521
02/09/2021,Albany,68,19655,1766,451287
02/10/2021,Albany,93,19748,5082,456369
02/11/2021,Albany,84,19832,2686,459055
02/12/2021,Albany,76,19908,5570,464625
02/13/2021,Albany,74,19982,2018,466643
02/14/2021,Albany,51,20033,3431,470074
02/15/2021,Albany,57,20090,1353,471427
02/16/2021,Albany,42,20132,4248,475675
02/17/2021,Albany,52,20184,2399,478074
02/18/2021,Albany,88,20272,3283,481357
02/19/2021,Albany,64,20336,7797,489154
02/20/2021,Albany,56,20392,3727,492881
02/21/2021,Albany,49,20441,1542,494423
02/22/2021,Albany,45,20486,1305,495728
02/23/2021,Albany,40,20526,1843,497571
02/24/2021,Albany,94,20620,4931,502502
02/25/2021,Albany,63,20683,5862,508364
02/26/2021,Albany,75,20758,4453,512817
02/27/2021,Albany,90,20848,4113,516930
02/28/2021,Albany,42,20890,1612,518542
03/01/2021,Albany,41,20931,1242,519784
03/02/2021,Albany,54,20985,1994,521778
03/03/2021,Albany,45,21030,2493,524271
03/04/2021,Albany,84,21114,5983,530254
03/05/2021,Albany,66,21180,4295,534549
03/06/2021,Albany,59,21239,2283,536832
03/07/2021,Albany,63,21302,1515,538347
03/08/2021,Albany,52,21354,1118,539465
03/09/2021,Albany,49,21403,1749,541214
03/10/2021,Albany,65,21468,4543,545757
03/11/2021,Albany,43,21511,3924,549681
03/12/2021,Albany,40,21551,3374,553055
03/13/2021,Albany,44,21595,3750,556805
03/14/2021,Albany,50,21645,1466,558271
03/15/2021,Albany,43,21688,1457,559728
03/16/2021,Albany,48,21736,1907,561635
03/17/2021,Albany,70,21806,4089,565724
03/18/2021,Albany,61,21867,2860,568584
03/19/2021,Albany,47,21914,4698,573282
03/20/2021,Albany,68,21982,4197,577479
03/21/2021,Albany,42,22024,1385,578864
03/22/2021,Albany,54,22078,1247,580111
03/23/2021,Albany,63,22141,1659,581770
03/24/2021,Albany,73,22214,4447,586217
03/25/2021,Albany,62,22276,4003,590220
03/26/2021,Albany,75,22351,3732,593952
03/27/2021,Albany,67,22418,2573,596525
03/28/2021,Albany,58,22476,2781,599306
03/29/2021,Albany,60,22536,1426,600732
03/30/2021,Albany,77,22613,1923,602655
03/31/2021,Albany,83,22696,3171,605826
04/01/2021,Albany,42,22738,4022,609848
04/02/2021,Albany,61,22799,4096,613944
04/03/2021,Albany,56,22855,2515,616459
04/04/2021,Albany,70,22925,1373,617832
04/05/2021,Albany,40,22965,1139,618971
04/06/2021,Albany,46,23011,1966,620937
04/07/2021,Albany,68,23079,2097,623034
04/08/2021,Albany,70,23149,4494,627528
04/09/2021,Albany,68,23217,3101,630629
04/10/2021,Albany,63,23280,2326,632955
04/11/2021,Albany,43,23323,1013,633968
04/12/2021,Albany,45,23368,1386,635354
04/13/2021,Albany,41,23409,1790,637144
04/14/2021,Albany,64,23473,2498,639642
04/15/2021,Albany,62,23535,1719,641361
04/16/2021,Albany,74,23609,2618,643979
04/17/2021,Albany,70,23679,2656,646635
04/18/2021,Albany,39,23718,1334,647969
04/19/2021,Albany,54,23772,1031,649000
04/20/2021,Albany,28,23800,1669,650669
04/21/2021,Albany,70,23870,2541,653210
04/22/2021,Albany,44,23914,2179,655389
04/23/2021,Albany,38,23952,3326,658715
04/24/2021,Albany,24,23976,2009,660724
04/25/2021,Albany,33,24009,1125,661849
04/26/2021,Albany,29,24038,1268,663117
04/27/2021,Albany,18,24056,1401,664518
04/28/2021,Albany,46,24102,2234,666752
04/29/2021,Albany,26,24128,2400,669152
04/30/2021,Albany,31,24159,2044,671196
05/01/2021,Albany,21,24180,2176,673372
05/02/2021,Albany,12,24192,1217,674589
05/03/2021,Albany,20,24212,854,675443
05/04/2021,Albany,14,24226,1661,677104
05/05/2021,Albany,20,24246,2021,679125
05/06/2021,Albany,24,24270,1717,680842
05/07/2021,Albany,32,24302,5310,686152
05/08/2021,Albany,19,24321,1600,687752
05/09/2021,Albany,13,24334,902,688654
05/10/2021,Albany,15,24349,1077,689731
05/11/2021,Albany,19,24368,1212,690943
05/12/2021,Albany,17,24385,1939,692882
05/13/2021,Albany,21,24406,2972,695854
05/14/2021,Albany,22,24428,2307,698161
05/15/2021,Albany,17,24445,1612,699773
05/16/2021,Albany,10,24455,900,700673
05/17/2021,Albany,11,24466,766,701439
05/18/2021,Albany,14,24480,1306,702745
05/19/2021,Albany,13,24493,2476,705221
05/20/2021,Albany,23,24516,1969,707190
05/21/2021,Albany,15,24531,1771,708961
05/22/2021,Albany,18,24549,1218,710179
05/23/2021,Albany,17,24566,806,710985
05/24/2021,Albany,17,24583,544,711529
05/25/2021,Albany,10,24593,1336,712865
05/26/2021,Albany,10,24603,1699,714564
05/27/2021,Albany,11,24614,1454,716018
03/01/2020,Allegany,0,0,0,0
03/02/2020,Allegany,0,0,0,0
03/03/2020,Allegany,0,0,0,0
03/04/2020,Allegany,0,0,0,0
03/05/2020,Allegany,0,0,0,0
03/06/2020,Allegany,0,0,0,0
03/07/2020,Allegany,0,0,0,0
03/08/2020,Allegany,0,0,0,0
03/09/2020,Allegany,0,0,0,0
03/10/2020,Allegany,0,0,0,0
03/11/2020,Allegany,0,0,4,4
03/12/2020,Allegany,0,0,1,5
03/13/2020,Allegany,0,0,0,5
03/14/2020,Allegany,0,0,1,6
03/15/2020,Allegany,2,2,5,11
03/16/2020,Allegany,0,2,1,12
03/17/2020,Allegany,0,2,0,12
03/18/2020,Allegany,0,2,3,15
03/19/2020,Allegany,0,2,2,17
03/20/2020,Allegany,0,2,10,27
03/21/2020,Allegany,0,2,10,37
03/22/2020,Allegany,0,2,39,76
03/23/2020,Allegany,0,2,2,78
03/24/2020,Allegany,0,2,5,83
03/25/2020,Allegany,0,2,6,89
03/26/2020,Allegany,0,2,9,98
03/27/2020,Allegany,0,2,4,102
03/28/2020,Allegany,4,6,12,114
03/29/2020,Allegany,1,7,7,121
03/30/2020,Allegany,0,7,4,125
03/31/2020,Allegany,2,9,10,135
04/01/2020,Allegany,3,12,14,149
04/02/2020,Allegany,2,14,18,167
04/03/2020,Allegany,2,16,13,180
04/04/2020,Allegany,0,16,8,188
04/05/2020,Allegany,1,17,8,196
04/06/2020,Allegany,0,17,3,199
04/07/2020,Allegany,4,21,16,215
04/08/2020,Allegany,1,22,12,227
04/09/2020,Allegany,4,26,21,248
04/10/2020,Allegany,0,26,16,264
04/11/2020,Allegany,0,26,11,275
04/12/2020,Allegany,0,26,5,280
04/13/2020,Allegany,2,28,14,294
04/14/2020,Allegany,0,28,10,304
04/15/2020,Allegany,0,28,8,312
04/16/2020,Allegany,1,29,21,333
04/17/2020,Allegany,1,30,15,348
04/18/2020,Allegany,0,30,7,355
04/19/2020,Allegany,0,30,5,360
04/20/2020,Allegany,0,30,9,369
04/21/2020,Allegany,0,30,10,379
04/22/2020,Allegany,0,30,14,393
04/23/2020,Allegany,1,31,10,403
04/24/2020,Allegany,4,35,61,464
04/25/2020,Allegany,0,35,12,476
04/26/2020,Allegany,0,35,9,485
04/27/2020,Allegany,0,35,14,499
04/28/2020,Allegany,0,35,26,525
04/29/2020,Allegany,0,35,18,543
04/30/2020,Allegany,0,35,20,563
05/01/2020,Allegany,0,35,11,574
05/02/2020,Allegany,0,35,18,592
05/03/2020,Allegany,0,35,14,606
05/04/2020,Allegany,0,35,31,637
05/05/2020,Allegany,0,35,22,659
05/06/2020,Allegany,0,35,40,699
05/07/2020,Allegany,0,35,33,732
05/08/2020,Allegany,0,35,18,750
05/09/2020,Allegany,1,36,20,770
05/10/2020,Allegany,2,38,35,805
05/11/2020,Allegany,4,42,41,846
05/12/2020,Allegany,2,44,39,885
05/13/2020,Allegany,0,44,53,938
05/14/2020,Allegany,0,44,44,982
05/15/2020,Allegany,0,44,27,1009
05/16/2020,Allegany,0,44,36,1045
05/17/2020,Allegany,0,44,89,1134
05/18/2020,Allegany,0,44,28,1162
05/19/2020,Allegany,0,44,49,1211
05/20/2020,Allegany,0,44,68,1279
05/21/2020,Allegany,0,44,47,1326
05/22/2020,Allegany,0,44,26,1352
05/23/2020,Allegany,0,44,33,1385
05/24/2020,Allegany,0,44,53,1438
05/25/2020,Allegany,0,44,28,1466
05/26/2020,Allegany,1,45,96,1562
05/27/2020,Allegany,0,45,98,1660
05/28/2020,Allegany,0,45,60,1720
05/29/2020,Allegany,0,45,64,1784
05/30/2020,Allegany,0,45,51,1835
05/31/2020,Allegany,3,48,100,1935
06/01/2020,Allegany,0,48,160,2095
06/02/2020,Allegany,1,49,181,2276
06/03/2020,Allegany,0,49,131,2407
06/04/2020,Allegany,2,51,154,2561
06/05/2020,Allegany,0,51,309,2870
06/06/2020,Allegany,0,51,98,2968
06/07/2020,Allegany,0,51,149,3117
06/08/2020,Allegany,0,51,220,3337
06/09/2020,Allegany,1,52,128,3465
06/10/2020,Allegany,1,53,137,3602
06/11/2020,Allegany,0,53,163,3765
06/12/2020,Allegany,1,54,144,3909
06/13/2020,Allegany,0,54,103,4012
06/14/2020,Allegany,1,55,65,4077
06/15/2020,Allegany,0,55,120,4197
06/16/2020,Allegany,0,55,134,4331
06/17/2020,Allegany,2,57,77,4408
06/18/2020,Allegany,1,58,220,4628
06/19/2020,Allegany,0,58,166,4794
06/20/2020,Allegany,0,58,66,4860
06/21/2020,Allegany,0,58,114,4974
06/22/2020,Allegany,0,58,142,5116
06/23/2020,Allegany,0,58,104,5220
06/24/2020,Allegany,0,58,131,5351
06/25/2020,Allegany,0,58,109,5460
06/26/2020,Allegany,0,58,55,5515
06/27/2020,Allegany,1,59,74,5589
06/28/2020,Allegany,0,59,157,5746
06/29/2020,Allegany,0,59,194,5940
06/30/2020,Allegany,2,61,78,6018
07/01/2020,Allegany,1,62,48,6066
07/02/2020,Allegany,1,63,105,6171
07/03/2020,Allegany,0,63,75,6246
07/04/2020,Allegany,0,63,97,6343
07/05/2020,Allegany,0,63,93,6436
07/06/2020,Allegany,0,63,87,6523
07/07/2020,Allegany,1,64,205,6728
07/08/2020,Allegany,0,64,91,6819
07/09/2020,Allegany,0,64,78,6897
07/10/2020,Allegany,2,66,106,7003
07/11/2020,Allegany,0,66,107,7110
07/12/2020,Allegany,0,66,88,7198
07/13/2020,Allegany,2,68,243,7441
07/14/2020,Allegany,1,69,97,7538
07/15/2020,Allegany,1,70,80,7618
07/16/2020,Allegany,1,71,72,7690
07/17/2020,Allegany,0,71,111,7801
07/18/2020,Allegany,0,71,78,7879
07/19/2020,Allegany,0,71,72,7951
07/20/2020,Allegany,1,72,97,8048
07/21/2020,Allegany,0,72,171,8219
07/22/2020,Allegany,0,72,130,8349
07/23/2020,Allegany,2,74,112,8461
07/24/2020,Allegany,0,74,138,8599
07/25/2020,Allegany,0,74,75,8674
07/26/2020,Allegany,0,74,58,8732
07/27/2020,Allegany,0,74,53,8785
07/28/2020,Allegany,0,74,212,8997
07/29/2020,Allegany,0,74,100,9097
07/30/2020,Allegany,0,74,65,9162
07/31/2020,Allegany,0,74,102,9264
08/01/2020,Allegany,0,74,118,9382
08/02/2020,Allegany,1,75,63,9445
