date_stamp,sex,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-04-08,2,2247,51.5131,,
2020-04-08,1,2028,49.1279,,
2020-04-08,9,87,3.1431,,
2020-04-09,9,81,1.7479,,
2020-04-09,1,2155,46.5041,,
2020-04-09,2,2398,51.7479,,
2020-04-10,9,81,1.666,,
2020-04-10,1,2267,46.6269,,
2020-04-10,2,2514,51.7071,,
2020-04-11,1,2372,46.3825,,
2020-04-11,2,2651,51.8381,,
2020-04-11,9,91,1.7794,,
2020-04-12,9,104,1.9593,,
2020-04-12,1,2464,46.4205,,
2020-04-12,2,2740,51.6202,,
2020-04-13,9,136,2.4242,,
2020-04-13,1,2589,46.1497,,
2020-04-13,2,2885,51.426,,
2020-04-14,9,127,2.181,,
2020-04-14,1,2703,46.4194,,
2020-04-14,2,2993,51.3996,,
2020-04-15,9,161,2.6485,,
2020-04-15,1,2809,46.2083,,
2020-04-15,2,3109,51.1433,,
2020-04-16,1,2895,46.2312,,
2020-04-16,2,3209,51.2456,,
2020-04-16,9,158,2.5232,,
2020-04-17,1,3050,46.2893,,
2020-04-17,2,3369,51.1307,,
2020-04-17,9,170,2.5801,,
2020-04-18,9,194,2.869,,
2020-04-18,1,3126,46.2289,,
2020-04-18,2,3442,50.9021,,
2020-04-19,9,226,3.1966,,
2020-04-19,1,3258,46.082,,
2020-04-19,2,3586,50.7214,,
2020-04-20,9,230,3.1777,,
2020-04-20,1,3364,46.4769,,
2020-04-20,2,3644,50.3454,,
2020-04-21,1,3454,46.7136,,
2020-04-21,2,3729,50.4328,,
2020-04-21,9,211,2.8537,,
2020-04-22,2,3880,49.4772,,
2020-04-22,9,266,3.392,,
2020-04-22,1,3696,47.1308,,
2020-04-23,1,4055,49.0564,,
2020-04-23,2,3950,47.7861,,
2020-04-23,9,261,3.1575,,
2020-04-24,9,255,2.9223,,
2020-04-24,1,4412,50.5615,,
2020-04-24,2,4059,46.5162,,
2020-04-25,1,4633,50.419,,
2020-04-25,2,4272,46.4904,,
2020-04-25,9,284,3.0907,,
2020-04-26,1,4928,50.9776,,
2020-04-26,2,4436,45.8881,,
2020-04-26,9,303,3.1344,,
2020-04-27,9,317,3.1962,,
2020-04-27,1,5033,50.7461,,
2020-04-27,2,4568,46.0577,,
2020-04-28,9,294,2.9248,,
2020-04-28,1,5119,50.9252,,
2020-04-28,2,4639,46.15,,
2020-04-29,1,5318,51.3023,,
2020-04-29,2,4763,45.9483,,
2020-04-29,9,285,2.7494,,
2020-04-30,9,311,2.8971,,
2020-04-30,1,5508,51.3088,,
2020-04-30,2,4916,45.7941,,
2020-05-01,9,740,6.2232,,
2020-05-01,1,6104,51.3329,,
2020-05-01,2,5047,42.4439,,
2020-05-02,9,806,6.366,,
2020-05-02,1,6584,52.0022,,
2020-05-02,2,5271,41.6318,,
2020-05-03,1,6885,52.2501,,
2020-05-03,2,5473,41.5345,,
2020-05-03,9,819,6.2154,,
2020-05-04,1,7063,52.0448,,
2020-05-04,2,5689,41.9203,,
2020-05-04,9,819,6.0349,,
2020-05-05,9,801,5.851,,
2020-05-05,1,7138,52.1402,,
2020-05-05,2,5751,42.0088,,
2020-05-06,1,7286,52.2744,,
2020-05-06,2,5857,42.0218,,
2020-05-06,9,795,5.7038,,
2020-05-07,1,7360,52.2134,,
2020-05-07,2,5952,42.2247,,
2020-05-07,9,784,5.5619,,
2020-05-08,9,779,5.3944,,
2020-05-08,1,7573,52.441,,
2020-05-08,2,6089,42.1647,,
2020-05-09,9,809,5.4781,,
2020-05-09,1,7735,52.3768,,
2020-05-09,2,6224,42.1452,,
2020-05-10,1,7851,52.3924,,
2020-05-10,2,6299,42.0354,,
2020-05-10,9,835,5.5722,,
2020-05-11,9,851,5.4748,,
2020-05-11,1,8237,52.9915,,
2020-05-11,2,6456,41.5337,,
2020-05-12,1,8644,53.659,,
2020-05-12,2,6606,41.003,,
2020-05-12,9,860,5.338,,
2020-05-13,2,6697,40.9102,,
2020-05-13,1,8815,53.8485,,
2020-05-13,9,858,5.2413,,
2020-05-14,9,852,5.1021,,
2020-05-14,1,9015,53.9853,,
2020-05-14,2,6832,40.9126,,
2020-05-15,9,904,5.327,,
2020-05-15,1,9128,53.789,,
2020-05-15,2,6938,40.8839,,
2020-05-16,1,9292,53.7483,,
2020-05-16,2,7089,41.0053,,
2020-05-16,9,907,5.2464,,
2020-05-17,9,901,5.1817,,
2020-05-17,1,9340,53.7152,,
2020-05-17,2,7147,41.1031,,
2020-05-18,9,917,5.0913,,
2020-05-18,1,9680,53.7449,,
2020-05-18,2,7414,41.1637,,
2020-05-19,1,9873,53.7218,,
2020-05-19,2,7597,41.3375,,
2020-05-19,9,908,4.9407,,
2020-05-20,9,881,4.7539,,
2020-05-20,1,9986,53.8852,,
2020-05-20,2,7665,41.3609,,
2020-05-21,9,804,4.2403,,
2020-05-21,1,10378,54.7334,,
2020-05-21,2,7779,41.0263,,
2020-05-22,1,10627,54.7953,,
2020-05-22,2,7987,41.1828,,
2020-05-22,9,780,4.0219,,
2020-05-23,9,778,3.9315,,
2020-05-23,1,10823,54.692,,
2020-05-23,2,8188,41.3765,,
2020-05-24,1,11004,54.624,,
2020-05-24,2,8363,41.514,,
2020-05-24,9,778,3.862,,
2020-05-25,1,11256,54.6222,,
2020-05-25,2,8567,41.5733,,
2020-05-25,9,784,3.8045,,
2020-05-26,9,799,3.8111,,
2020-05-26,1,11445,54.591,,
2020-05-26,2,8721,41.5979,,
2020-05-27,9,804,3.7736,,
2020-05-27,1,11613,54.5058,,
2020-05-27,2,8889,41.7206,,
2020-05-28,1,11834,54.5874,,
2020-05-28,2,9070,41.8377,,
2020-05-28,9,775,3.5749,,
2020-05-29,9,774,3.5046,,
2020-05-29,1,12044,54.5348,,
2020-05-29,2,9267,41.9606,,
2020-05-30,9,778,3.4477,,
2020-05-30,1,12280,54.4182,,
2020-05-30,2,9508,42.1342,,
2020-05-31,1,12507,54.3641,,
2020-05-31,2,9717,42.2368,,
2020-05-31,9,782,3.3991,,
2020-06-01,9,783,3.3243,,
2020-06-01,1,12812,54.3942,,
2020-06-01,2,9959,42.2816,,
2020-06-02,9,1081,4.4349,,
2020-06-02,1,13119,53.8215,,
2020-06-02,2,10175,41.7436,,
2020-06-03,1,13448,54.1777,,
2020-06-03,2,10369,41.7734,,
2020-06-03,9,1005,4.0488,,
2020-06-04,9,976,3.8854,,
2020-06-04,1,13617,54.2078,,
2020-06-04,2,10527,41.9068,,
2020-06-05,9,959,3.7578,,
2020-06-05,1,13819,54.1497,,
2020-06-05,2,10742,42.0925,,
2020-06-06,1,14108,54.1138,,
2020-06-06,2,11003,42.204,,
2020-06-06,9,960,3.6823,,
2020-06-07,9,958,3.6314,,
2020-06-07,1,14268,54.0844,,
2020-06-07,2,11155,42.2842,,
2020-06-08,9,969,3.5963,,
2020-06-08,1,14545,53.9823,,
2020-06-08,2,11430,42.4213,,
2020-06-09,1,14858,53.8821,,
2020-06-09,2,11756,42.6328,,
2020-06-09,9,961,3.485,,
2020-06-10,9,948,3.4016,,
2020-06-10,1,14992,53.7945,,
2020-06-10,2,11929,42.8038,,
2020-06-11,9,925,3.2639,,
2020-06-11,1,15272,53.8885,,
2020-06-11,2,12143,42.8476,,
2020-06-12,1,15684,53.8488,,
2020-06-12,2,12485,42.8655,,
2020-06-12,9,957,3.2857,,
2020-06-13,9,949,3.2125,,
2020-06-13,1,15903,53.8337,,
2020-06-13,2,12689,42.9539,,
2020-06-14,9,970,3.1874,,
2020-06-14,1,16357,53.7493,,
2020-06-14,2,13105,43.0632,,
2020-06-15,1,16695,53.5783,,
2020-06-15,2,13483,43.2702,,
2020-06-15,9,982,3.1515,,
2020-06-16,9,988,3.104,,
2020-06-16,1,17049,53.5627,,
2020-06-16,2,13793,43.3333,,
2020-06-17,1,17211,53.5451,,
2020-06-17,2,13957,43.4216,,
2020-06-17,9,975,3.0333,,
2020-06-18,1,17572,53.5258,,
2020-06-18,2,14268,43.4616,,
2020-06-18,9,989,3.0126,,
2020-06-19,9,1005,2.9544,,
2020-06-19,1,18180,53.4439,,
2020-06-19,2,14832,43.6017,,
2020-06-20,9,992,2.8799,,
2020-06-20,1,18396,53.4053,,
2020-06-20,2,15058,43.7148,,
2020-06-21,1,18727,53.3502,,
2020-06-21,2,15383,43.8237,,
2020-06-21,9,992,2.826,,
2020-06-22,9,989,2.7818,,
2020-06-22,1,18954,53.312,,
2020-06-22,2,15610,43.9063,,
2020-06-23,9,994,2.7381,,
2020-06-23,1,19319,53.216,,
2020-06-23,2,15990,44.0459,,
2020-06-24,9,998,2.6803,,
2020-06-24,1,19794,53.1597,,
2020-06-24,2,16443,44.1601,,
2020-06-25,9,1013,2.6634,0,0.0
2020-06-25,1,20181,53.0604,311,54.8
2020-06-25,2,16840,44.2762,256,45.1
2020-06-26,1,20867,52.9028,316,54.7
2020-06-26,9,1059,2.6848,0,0.0
2020-06-26,2,17518,44.4123,261,45.2
2020-06-27,9,1083,2.6959,0,0.0
2020-06-27,1,21224,52.8328,321,54.9
2020-06-27,2,17865,44.4713,263,45.0
2020-06-29,9,1088,2.5723,0,0.0
2020-06-29,1,22213,52.5167,326,55.0
2020-06-29,2,18996,44.911,266,44.9
2020-06-30,9,1103,2.5351,0,0.0
2020-06-30,1,22837,52.488,334,55.2
2020-06-30,2,19569,44.9769,270,44.7
2020-07-01,1,23857,52.647,337,55.3
2020-07-01,2,20518,45.2786,272,44.6
2020-07-01,9,940,2.0744,0,0.0
2020-07-02,1,24612,52.4888,342,55.1
2020-07-02,2,21332,45.4937,277,44.6
2020-07-02,9,946,2.0175,1,0.1
2020-07-03,9,949,1.9482,1,0.1
2020-07-03,1,25517,52.3834,349,55.1
2020-07-03,2,22246,45.6684,283,44.7
2020-07-04,9,951,1.8967,1,0.1
2020-07-04,1,26209,52.2716,351,55.1
2020-07-04,2,22980,45.8317,285,44.7
2020-07-05,9,953,1.853,0,0.0
2020-07-05,1,26861,52.2273,358,55.4
2020-07-05,2,23617,45.9198,288,44.5
2020-07-06,1,27203,52.158,362,55.4
2020-07-06,2,23986,45.9898,291,44.5
2020-07-06,9,966,1.8522,0,0.0
2020-07-07,1,27832,52.0088,370,55.6
2020-07-07,2,24706,46.1674,295,44.3
2020-07-07,9,976,1.8238,0,0.0
2020-07-08,9,993,1.7737,0,0.0
2020-07-08,1,28997,51.7933,380,55.4
2020-07-08,2,25996,46.433,305,44.5
2020-07-09,9,1008,1.7503,0,0.0
2020-07-09,1,29784,51.7164,398,56.0
2020-07-09,2,26799,46.5333,312,43.9
2020-07-10,9,1002,1.6827,0,0.0
2020-07-10,1,30778,51.6878,404,55.8
2020-07-10,2,27766,46.6295,319,44.1
2020-07-11,9,1003,1.6441,0,0.0
2020-07-11,1,31451,51.5539,413,55.9
2020-07-11,2,28552,46.802,325,44.0
2020-07-12,9,992,1.601,0,0.0
2020-07-12,1,31935,51.5413,414,55.8
2020-07-12,2,29033,46.8577,327,44.1
2020-07-13,1,33486,51.3007,418,55.8
2020-07-13,2,30763,47.129,330,44.0
2020-07-13,9,1025,1.5703,1,0.1
2020-07-14,9,1032,1.5452,1,0.1
2020-07-14,1,34190,51.1918,430,56.0
2020-07-14,2,31566,47.263,336,43.8
2020-07-15,1,35230,51.0129,440,56.1
2020-07-15,2,32788,47.4769,343,43.8
2020-07-15,9,1043,1.5103,0,0.0
2020-07-16,1,36423,50.9128,446,56.0
2020-07-16,2,34059,47.6083,350,43.9
2020-07-16,9,1058,1.4789,0,0.0
2020-07-17,9,1088,1.4739,0,0.0
2020-07-17,1,37475,50.7661,455,55.8
2020-07-17,2,35256,47.7601,360,44.1
2020-07-18,1,38611,50.5803,470,56.0
2020-07-18,2,36625,47.9787,367,43.7
2020-07-18,9,1100,1.441,1,0.1
2020-07-19,9,1087,1.3915,1,0.1
2020-07-19,1,39421,50.4653,473,56.1
2020-07-19,2,37607,48.1431,369,43.7
2020-07-20,1,40117,50.3009,476,56.1
2020-07-20,2,38543,48.3274,370,43.6
2020-07-20,9,1094,1.3717,1,0.1
2020-07-21,1,41156,50.2245,495,56.8
2020-07-21,2,39685,48.4294,376,43.1
2020-07-21,9,1103,1.346,0,0.0
2020-07-22,9,1082,1.2817,0,0.0
2020-07-22,1,42293,50.1001,506,56.9
2020-07-22,2,41042,48.6182,382,43.0
2020-07-23,9,1140,1.3105,0,0.0
2020-07-23,1,43500,50.0075,529,57.1
2020-07-23,2,42347,48.682,396,42.8
2020-07-24,9,1158,1.3,0,0.0
2020-07-24,1,44498,49.954,535,57.0
2020-07-24,2,43422,48.746,403,42.9
2020-07-25,1,45278,49.8678,553,57.3
2020-07-25,2,44352,48.848,411,42.6
2020-07-25,9,1166,1.2842,0,0.0
2020-07-26,1,46696,49.7104,557,57.6
2020-07-26,2,46045,49.0174,410,42.3
2020-07-26,9,1195,1.2721,0,0.0
2020-07-27,9,1203,1.2468,0,0.0
2020-07-27,1,47846,49.587,564,57.6
2020-07-27,2,47440,49.1662,414,42.3
2020-07-28,1,49012,49.4851,573,57.3
2020-07-28,2,48799,49.27,426,42.6
2020-07-28,9,1233,1.2449,0,0.0
2020-07-29,9,1220,1.2101,0,0.0
2020-07-29,1,49829,49.4227,582,57.0
2020-07-29,2,49773,49.3672,438,42.9
2020-07-30,9,1242,1.2073,0,0.0
2020-07-30,1,50756,49.3395,591,57.2
2020-07-30,2,50873,49.4532,442,42.7
2020-07-31,1,52129,49.1973,604,56.9
2020-07-31,9,1244,1.174,0,0.0
2020-07-31,2,52586,49.6286,456,43.0
2020-08-01,9,1266,1.1702,0,0.0
2020-08-01,1,53157,49.1357,607,56.8
2020-08-01,2,53761,49.694,460,43.1
2020-08-02,9,1274,1.1621,0,0.0
2020-08-02,1,53805,49.0801,609,56.7
2020-08-02,2,54548,49.7578,464,43.2
2020-08-03,9,1294,1.1696,0,0.0
2020-08-03,1,54250,49.0347,622,56.9
2020-08-03,2,55092,49.7957,470,43.0
2020-08-04,1,55094,48.9981,636,56.9
2020-08-04,2,56029,49.8297,481,43.0
2020-08-04,9,1318,1.1722,0,0.0
2020-08-05,1,55891,48.9851,653,57.0
2020-08-05,2,56896,49.8659,491,42.9
2020-08-05,9,1311,1.149,0,0.0
2020-08-06,9,1320,1.1345,0,0.0
2020-08-06,1,56936,48.9351,675,56.9
2020-08-06,2,58094,49.9304,511,43.0
2020-08-07,9,1329,1.1189,1,0.0
2020-08-07,1,58004,48.8323,685,56.7
2020-08-07,2,59449,50.0488,520,43.1
2020-08-08,9,1342,1.1129,1,0.0
2020-08-08,1,58796,48.759,690,56.7
2020-08-08,2,60447,50.1281,524,43.1
2020-08-09,1,59804,48.7353,693,56.6
2020-08-09,2,61562,50.1679,529,43.2
2020-08-09,9,1346,1.0969,1,0.0
2020-08-10,1,60340,48.6951,698,56.6
2020-08-10,2,62223,50.2147,534,43.3
2020-08-10,9,1351,1.0903,1,0.0
2020-08-11,9,1350,1.0807,1,0.0
2020-08-11,1,60786,48.6619,725,57.0
2020-08-11,2,62779,50.2574,545,42.8
2020-08-12,9,1297,1.0262,1,0.0
2020-08-12,1,61509,48.6649,736,57.0
2020-08-12,2,63587,50.309,552,42.8
2020-08-13,9,1299,1.0108,1,0.0
2020-08-13,1,62487,48.6239,749,57.0
2020-08-13,2,64725,50.3653,563,42.8
2020-08-14,1,63346,48.5566,757,57.0
2020-08-14,2,65793,50.4323,568,42.8
2020-08-14,9,1319,1.0111,1,0.0
2020-08-15,1,63938,48.5309,770,57.2
2020-08-15,2,66497,50.4733,574,42.6
2020-08-15,9,1312,0.9958,1,0.0
2020-08-16,9,1322,0.9887,1,0.0
2020-08-16,1,64850,48.5012,786,57.5
2020-08-16,2,67536,50.5101,579,42.3
2020-08-17,1,65331,48.4853,799,57.6
2020-08-17,2,68091,50.5336,587,42.3
2020-08-17,9,1322,0.9811,1,0.0
2020-08-18,9,1350,0.9943,2,0.1
2020-08-18,1,65800,48.4615,817,57.2
2020-08-18,2,68628,50.5443,607,42.5
2020-08-19,9,1297,0.9412,2,0.1
2020-08-19,1,66816,48.4877,829,57.0
2020-08-19,2,69687,50.5711,621,42.7
2020-08-20,1,67475,48.4821,851,57.1
2020-08-20,9,1293,0.929,3,0.2
2020-08-20,2,70407,50.5888,634,42.6
2020-08-21,9,1305,0.9266,4,0.2
2020-08-21,1,68252,48.4593,885,57.1
2020-08-21,2,71287,50.6142,660,42.6
2020-08-22,9,1313,0.9241,4,0.2
2020-08-22,1,68843,48.4527,896,57.3
2020-08-22,2,71927,50.6232,663,42.4
2020-08-23,9,1314,0.9129,4,0.2
2020-08-23,1,69716,48.4351,897,57.2
2020-08-23,2,72907,50.652,666,42.5
2020-08-24,1,70013,48.4171,910,57.3
2020-08-24,2,73283,50.6784,674,42.4
2020-08-24,9,1308,0.9045,4,0.2
2020-08-25,1,70396,48.4097,933,57.3
2020-08-25,2,73710,50.6887,691,42.4
2020-08-25,9,1311,0.9015,4,0.2
2020-08-26,9,1311,0.8897,3,0.1
2020-08-26,1,71288,48.3791,946,57.4
2020-08-26,2,74754,50.7312,699,42.4
2020-08-27,9,1324,0.8875,4,0.2
2020-08-27,1,72160,48.3714,962,57.5
2020-08-27,2,75695,50.7411,707,42.2
2020-08-28,9,1326,0.8792,0,0.0
2020-08-28,1,72916,48.348,973,57.2
2020-08-28,2,76573,50.7728,728,42.7
2020-08-29,1,73636,48.3557,984,57.0
2020-08-29,2,77308,50.767,740,42.8
2020-08-29,9,1336,0.8773,1,0.0
2020-08-30,1,74022,48.3441,996,57.0
2020-08-30,2,77748,50.7775,750,42.9
2020-08-30,9,1345,0.8784,1,0.0
2020-08-31,9,2075,1.3393,1,0.0
2020-08-31,1,74651,48.1828,998,56.8
2020-08-31,2,78207,50.4779,755,43.0
2020-09-01,9,2153,1.3772,1,0.0
2020-09-01,1,75282,48.1561,1012,56.8
2020-09-01,2,78894,50.4666,768,43.1
2020-09-02,9,2098,1.3293,0,0.0
2020-09-02,1,76044,48.1806,1021,56.8
2020-09-02,2,79689,50.4901,776,43.1
2020-09-03,1,76803,48.1385,1028,56.6
2020-09-03,2,80602,50.5196,787,43.3
2020-09-03,9,2141,1.3419,0,0.0
2020-09-04,1,77310,48.1391,1037,56.4
2020-09-04,2,81202,50.5626,800,43.5
2020-09-04,9,2085,1.2983,0,0.0
2020-09-05,9,2022,1.2454,0,0.0
2020-09-05,1,78185,48.1547,1050,56.3
2020-09-05,2,82155,50.5999,812,43.6
2020-09-06,9,2039,1.2423,0,0.0
2020-09-06,1,79092,48.1898,1050,56.3
2020-09-06,2,82995,50.5679,815,43.6
2020-09-07,9,2037,1.2337,0,0.0
2020-09-07,1,79507,48.1542,1053,56.3
2020-09-07,2,83565,50.612,816,43.6
2020-09-08,9,1947,1.1746,0,0.0
2020-09-08,1,79837,48.166,1067,56.2
2020-09-08,2,83970,50.6594,829,43.7
2020-09-09,1,80270,48.185,1086,56.2
2020-09-09,9,1848,1.1093,0,0.0
2020-09-09,2,84469,50.7056,845,43.7
2020-09-10,9,1902,1.1305,0,0.0
2020-09-10,1,81013,48.1541,1113,55.9
2020-09-10,2,85322,50.7154,875,44.0
2020-09-11,9,1863,1.0968,0,0.0
2020-09-11,1,81847,48.1853,1128,55.7
2020-09-11,2,86149,50.7179,897,44.2
2020-09-12,9,1822,1.0662,0,0.0
2020-09-12,1,82381,48.2068,1149,55.6
2020-09-12,2,86688,50.7271,915,44.3
2020-09-13,1,82814,48.197,1157,55.6
2020-09-13,2,87184,50.7403,921,44.3
2020-09-13,9,1826,1.0627,0,0.0
2020-09-14,1,83968,48.1816,1171,55.8
2020-09-14,2,88445,50.7505,926,44.1
2020-09-14,9,1861,1.0679,0,0.0
2020-09-15,9,1865,1.0643,0,0.0
2020-09-15,1,84399,48.1644,1188,55.8
2020-09-15,2,88967,50.7713,939,44.1
2020-09-16,9,1772,1.0006,0,0.0
2020-09-16,1,85312,48.1752,1202,55.8
2020-09-16,2,90003,50.8242,949,44.1
2020-09-17,9,1730,0.9711,0,0.0
2020-09-17,1,85837,48.1851,1210,55.9
2020-09-17,2,90573,50.8437,954,44.0
2020-09-18,1,86915,48.1532,1228,55.9
2020-09-18,2,91863,50.8945,968,44.0
2020-09-18,9,1719,0.9524,0,0.0
2020-09-19,1,87372,48.155,1236,55.7
2020-09-19,2,92368,50.9086,980,44.2
2020-09-19,9,1699,0.9364,0,0.0
2020-09-20,9,1740,0.9482,0,0.0
2020-09-20,1,88307,48.12,1237,55.7
2020-09-20,2,93467,50.9318,981,44.2
2020-09-21,9,1782,0.9663,0,0.0
2020-09-21,1,88698,48.0985,1245,55.7
2020-09-21,2,93929,50.9351,988,44.2
2020-09-22,9,1790,0.9668,0,0.0
2020-09-22,1,89024,48.0826,1260,55.7
2020-09-22,2,94334,50.9506,1001,44.2
2020-09-23,1,89799,48.0957,1271,55.8
2020-09-23,2,95170,50.9724,1004,44.1
2020-09-23,9,1740,0.9319,0,0.0
2020-09-24,1,90167,48.0778,1287,55.7
2020-09-24,2,95639,50.9955,1023,44.2
2020-09-24,9,1738,0.9267,0,0.0
2020-09-25,9,1754,0.9258,0,0.0
2020-09-25,1,91036,48.0518,1312,55.7
2020-09-25,2,96664,51.0224,1040,44.2
2020-09-26,1,91656,48.0148,1327,55.8
2020-09-26,2,97451,51.0506,1047,44.1
2020-09-26,9,1784,0.9346,0,0.0
2020-09-27,9,1800,0.9327,0,0.0
2020-09-27,1,92587,47.9738,1330,55.9
2020-09-27,2,98608,51.0936,1047,44.0
2020-09-28,1,92936,47.9714,1335,55.8
2020-09-28,2,98996,51.0995,1054,44.1
2020-09-28,9,1800,0.9291,0,0.0
2020-09-29,1,93361,47.9731,1347,55.6
2020-09-29,2,99450,51.1019,1073,44.3
2020-09-29,9,1800,0.9249,0,0.0
2020-09-30,9,1771,0.9029,0,0.0
2020-09-30,1,94092,47.9721,1364,55.5
2020-09-30,2,100276,51.125,1090,44.4
2020-10-01,9,1775,0.899,0,0.0
