date_stamp,race,cnt_confirmed,pct_confirmed,cnt_death,pct_death
2020-04-08,2,1140,26.1348,,
2020-04-08,1,320,7.3361,,
2020-04-08,0,32,0.7336,,
2020-04-08,3,106,2.4301,,
2020-04-08,9,2764,63.3654,,
2020-04-09,0,51,0.7968,,
2020-04-09,9,1716,19.6159,,
2020-04-09,3,186,3.9207,,
2020-04-09,1,668,12.7774,,
2020-04-09,2,2013,43.4398,,
2020-04-10,3,224,4.6072,,
2020-04-10,9,1469,30.2139,,
2020-04-10,0,61,1.2546,,
2020-04-10,1,803,16.5158,,
2020-04-10,2,2305,47.4085,,
2020-04-11,3,224,4.3801,,
2020-04-11,0,61,1.1928,,
2020-04-11,1,801,15.6629,,
2020-04-11,2,2305,45.0724,,
2020-04-11,9,1723,33.6918,,
2020-04-12,3,266,4.825,,
2020-04-12,0,73,1.3241,,
2020-04-12,1,922,16.7241,,
2020-04-12,2,2504,45.4199,,
2020-04-12,9,1748,31.7069,,
2020-04-13,0,73,1.3012,,
2020-04-13,9,1848,32.9412,,
2020-04-13,3,266,4.7415,,
2020-04-13,1,919,16.3815,,
2020-04-13,2,2504,44.6346,,
2020-04-14,9,1378,23.6648,,
2020-04-14,3,358,6.148,,
2020-04-14,0,83,1.4254,,
2020-04-14,1,1143,19.6291,,
2020-04-14,2,2861,49.1327,,
2020-04-15,3,350,5.7575,,
2020-04-15,0,88,1.4476,,
2020-04-15,1,1218,20.0362,,
2020-04-15,2,2972,48.8896,,
2020-04-15,9,1451,23.8691,,
2020-04-16,3,378,11.9318,,
2020-04-16,0,104,3.2828,,
2020-04-16,1,1298,40.9722,,
2020-04-16,2,3094,50.8965,,
2020-04-16,9,1388,43.8131,,
2020-04-17,0,114,1.7302,,
2020-04-17,1,1383,20.9895,,
2020-04-17,2,3195,48.4899,,
2020-04-17,,397,6.0404,,
2020-04-17,9,1500,22.75,,
2020-04-18,1,1437,21.2511,,
2020-04-18,9,1516,22.4194,,
2020-04-18,,404,5.9746,,
2020-04-18,2,3282,48.5359,,
2020-04-18,0,123,1.819,,
2020-04-19,0,130,1.8388,,
2020-04-19,1,1470,20.7921,,
2020-04-19,2,3347,47.3409,,
2020-04-19,,419,5.9264,,
2020-04-19,9,1704,24.1018,,
2020-04-20,0,138,1.9066,,
2020-04-20,1,1512,20.8897,,
2020-04-20,2,3406,47.0572,,
2020-04-20,,432,5.9685,,
2020-04-20,9,1750,24.1779,,
2020-04-21,0,151,2.0422,,
2020-04-21,9,1670,22.5859,,
2020-04-21,,456,6.1672,,
2020-04-21,2,3535,47.809,,
2020-04-21,1,1582,21.3957,,
2020-04-22,0,168,2.1423,,
2020-04-22,1,1620,20.658,,
2020-04-22,2,3637,46.3785,,
2020-04-22,,489,6.2484,,
2020-04-22,9,1928,24.5728,,
2020-04-23,3,515,6.2303,,
2020-04-23,0,176,2.1292,,
2020-04-23,1,1669,20.1911,,
2020-04-23,2,3718,44.9794,,
2020-04-23,9,2188,26.4699,,
2020-04-24,9,2504,28.6959,,
2020-04-24,3,531,6.0853,,
2020-04-24,0,183,2.0972,,
2020-04-24,1,1705,19.5393,,
2020-04-24,2,3803,43.5824,,
2020-04-25,3,564,6.1378,,
2020-04-25,0,189,2.0568,,
2020-04-25,1,1773,19.2948,,
2020-04-25,2,3912,42.5726,,
2020-04-25,9,2751,29.938,,
2020-04-26,3,588,6.0825,,
2020-04-26,0,193,1.9965,,
2020-04-26,1,1930,19.9648,,
2020-04-26,2,4028,41.6675,,
2020-04-26,9,2928,30.2886,,
2020-04-27,3,609,6.1404,,
2020-04-27,0,203,2.0468,,
2020-04-27,1,1983,19.994,,
2020-04-27,2,4108,41.4196,,
2020-04-27,9,3015,30.3993,,
2020-04-28,0,223,2.2185,,
2020-04-28,9,2868,28.5316,,
2020-04-28,2,4257,42.3498,,
2020-04-28,1,2059,20.4835,,
2020-04-28,3,645,6.4166,,
2020-04-29,3,688,6.6371,,
2020-04-29,0,239,2.3056,,
2020-04-29,1,2154,20.7795,,
2020-04-29,2,4427,42.7069,,
2020-04-29,9,2858,27.5709,,
2020-04-30,1,2233,20.8011,,
2020-04-30,9,2927,27.266,,
2020-04-30,3,719,6.6977,,
2020-04-30,0,259,2.4127,,
2020-04-30,2,4597,42.8225,,
2020-05-01,1,2447,20.5786,,
2020-05-01,9,3472,29.1986,,
2020-05-01,3,761,6.3998,,
2020-05-01,0,274,2.3043,,
2020-05-01,2,4937,41.5188,,
2020-05-02,9,3861,30.4952,,
2020-05-02,3,799,6.3107,,
2020-05-02,0,294,2.3221,,
2020-05-02,1,2578,20.3617,,
2020-05-02,2,5129,40.5102,,
2020-05-03,3,840,6.3747,,
2020-05-03,9,4185,31.7599,,
2020-05-03,0,295,2.2387,,
2020-05-03,1,2630,19.959,,
2020-05-03,2,5227,39.6676,,
2020-05-04,9,4370,32.201,,
2020-05-04,3,876,6.4549,,
2020-05-04,0,297,2.1885,,
2020-05-04,1,2670,19.6743,,
2020-05-04,2,5358,39.4812,,
2020-05-05,3,906,6.618,,
2020-05-05,0,311,2.2717,,
2020-05-05,1,2770,20.2337,,
2020-05-05,2,5507,40.2264,,
2020-05-05,9,4196,30.6501,,
2020-05-06,3,937,6.7226,,
2020-05-06,0,320,2.2959,,
2020-05-06,1,2854,20.4764,,
2020-05-06,2,5575,39.9986,,
2020-05-06,9,4252,30.5065,,
2020-05-07,3,979,6.9452,,
2020-05-07,0,326,2.3127,,
2020-05-07,1,2913,20.6654,,
2020-05-07,2,5700,40.437,,
2020-05-07,9,4178,29.6396,,
2020-05-08,3,1022,7.0771,,
2020-05-08,2,5859,40.572,,
2020-05-08,9,4232,29.3054,,
2020-05-08,0,334,2.3129,,
2020-05-08,1,2994,20.7326,,
2020-05-09,3,1047,7.0897,,
2020-05-09,0,341,2.309,,
2020-05-09,1,3043,20.6054,,
2020-05-09,2,5968,40.4117,,
2020-05-09,9,4369,29.5842,,
2020-05-10,3,1062,7.0871,,
2020-05-10,0,342,2.2823,,
2020-05-10,1,3087,20.6006,,
2020-05-10,2,6016,40.1468,,
2020-05-10,9,4478,29.8832,,
2020-05-11,3,1085,6.9802,,
2020-05-11,9,4802,30.8929,,
2020-05-11,2,6137,39.4815,,
2020-05-11,1,3178,20.4452,,
2020-05-11,0,342,2.2002,,
2020-05-12,3,1144,7.1069,,
2020-05-12,0,345,2.1414,,
2020-05-12,1,3396,21.0788,,
2020-05-12,2,6402,39.7368,,
2020-05-12,9,4823,29.9361,,
2020-05-13,3,1215,7.4221,,
2020-05-13,0,348,2.1258,,
2020-05-13,1,3518,21.4905,,
2020-05-13,2,6611,40.3849,,
2020-05-13,9,4678,28.5767,,
2020-05-14,9,4715,28.2352,,
2020-05-14,3,1292,7.737,,
2020-05-14,0,353,2.1139,,
2020-05-14,1,3572,21.3905,,
2020-05-14,2,6767,40.5234,,
2020-05-15,3,1398,8.2381,,
2020-05-15,0,357,2.1037,,
2020-05-15,1,3609,21.2669,,
2020-05-15,2,6849,40.3595,,
2020-05-15,9,4757,28.0318,,
2020-05-16,3,1458,8.4336,,
2020-05-16,0,362,2.0939,,
2020-05-16,1,3663,21.1881,,
2020-05-16,2,6991,40.4385,,
2020-05-16,9,4814,27.8459,,
2020-05-17,3,1497,8.6094,,
2020-05-17,0,364,2.0934,,
2020-05-17,1,3687,21.2043,,
2020-05-17,2,7045,40.5164,,
2020-05-17,9,4795,27.5765,,
2020-05-18,1,3747,20.804,,
2020-05-18,9,5256,29.1822,,
2020-05-18,2,7099,39.4148,,
2020-05-18,0,366,2.0321,,
2020-05-18,3,1543,8.567,,
2020-05-19,3,1650,8.9781,,
2020-05-19,0,368,2.0024,,
2020-05-19,1,3810,20.7313,,
2020-05-19,2,7258,39.4929,,
2020-05-19,9,5292,28.7953,,
2020-05-20,1,3866,20.8612,,
2020-05-20,9,5187,27.9894,,
2020-05-20,3,1718,9.2705,,
2020-05-20,0,375,2.0235,,
2020-05-20,2,7386,39.8554,,
2020-05-21,1,3932,20.7373,,
2020-05-21,9,5260,27.7412,,
2020-05-21,3,1770,9.335,,
2020-05-21,0,381,2.0094,,
2020-05-21,2,7618,40.1772,,
2020-05-22,3,1854,9.5597,,
2020-05-22,0,384,1.98,,
2020-05-22,1,4006,20.6559,,
2020-05-22,2,7796,40.198,,
2020-05-22,9,5354,27.6065,,
2020-05-23,9,5442,27.5001,,
2020-05-23,3,1954,9.8742,,
2020-05-23,0,385,1.9455,,
2020-05-23,1,4075,20.5922,,
2020-05-23,2,7933,40.0879,,
2020-05-24,0,387,1.9211,,
2020-05-24,1,4139,20.546,,
2020-05-24,2,8040,39.9106,,
2020-05-24,9,5577,27.6843,,
2020-05-24,3,2002,9.9379,,
2020-05-25,3,2066,10.0257,,
2020-05-25,0,390,1.8926,,
2020-05-25,1,4203,20.396,,
2020-05-25,2,8135,39.4769,,
2020-05-25,9,5813,28.2089,,
2020-05-26,3,2172,10.3601,,
2020-05-26,0,394,1.8793,,
2020-05-26,1,4266,20.3482,,
2020-05-26,2,8273,39.461,,
2020-05-26,9,5860,27.9513,,
2020-05-27,3,2316,10.8702,,
2020-05-27,0,397,1.8633,,
2020-05-27,1,4383,20.5717,,
2020-05-27,2,8465,39.7306,,
2020-05-27,9,5745,26.9642,,
2020-05-28,9,5652,26.0713,,
2020-05-28,3,2469,11.3889,,
2020-05-28,0,402,1.8543,,
2020-05-28,1,4460,20.5729,,
2020-05-28,2,8696,40.1126,,
2020-05-29,9,5695,25.7867,,
2020-05-29,3,2565,11.6142,,
2020-05-29,0,406,1.8384,,
2020-05-29,1,4511,20.4256,,
2020-05-29,2,8908,40.3351,,
2020-05-30,3,2713,12.0225,,
2020-05-30,0,410,1.8169,,
2020-05-30,1,5124,22.7067,,
2020-05-30,2,9822,43.5257,,
2020-05-30,9,4497,19.9282,,
2020-05-31,3,2799,12.1664,,
2020-05-31,0,411,1.7865,,
2020-05-31,1,5202,22.6115,,
2020-05-31,2,9934,43.18,,
2020-05-31,9,4660,20.2556,,
2020-06-01,3,2866,12.1678,,
2020-06-01,0,413,1.7534,,
2020-06-01,1,5265,22.3529,,
2020-06-01,2,10114,42.9396,,
2020-06-01,9,4896,20.7863,,
2020-06-02,9,4895,20.0821,,
2020-06-02,3,3345,13.7231,,
2020-06-02,0,417,1.7108,,
2020-06-02,1,5378,22.0636,,
2020-06-02,2,10340,42.4205,,
2020-06-03,9,4792,19.3055,,
2020-06-03,3,3546,14.2857,,
2020-06-03,0,423,1.7041,,
2020-06-03,1,5472,22.045,,
2020-06-03,2,10589,42.6597,,
2020-06-04,3,3613,14.383,,
2020-06-04,0,427,1.6998,,
2020-06-04,1,5551,22.0979,,
2020-06-04,2,10736,42.7389,,
2020-06-04,9,4793,19.0804,,
2020-06-05,3,3666,14.3652,,
2020-06-05,0,434,1.7006,,
2020-06-05,1,5717,22.402,,
2020-06-05,2,10989,43.0603,,
2020-06-05,9,4714,18.4718,,
2020-06-06,3,3833,14.7022,,
2020-06-06,0,439,1.6839,,
2020-06-06,1,5784,22.1856,,
2020-06-06,2,11179,42.8791,,
2020-06-06,9,4836,18.5493,,
2020-06-07,9,4930,18.6877,,
2020-06-07,3,3837,14.5446,,
2020-06-07,2,11315,42.8907,,
2020-06-07,0,441,1.6717,,
2020-06-07,1,5858,22.2054,,
2020-06-08,2,11451,42.4993,,
2020-06-08,1,5915,21.9529,,
2020-06-08,0,451,1.6738,,
2020-06-08,3,3926,14.571,,
2020-06-08,9,5201,19.303,,
2020-06-09,0,457,1.6573,,
2020-06-09,9,5197,18.8468,,
2020-06-09,3,4091,14.8359,,
2020-06-09,1,6052,21.9474,,
2020-06-09,2,11778,42.7126,,
2020-06-10,1,6185,22.1931,,
2020-06-10,9,5006,17.9626,,
2020-06-10,2,12004,43.0729,,
2020-06-10,0,461,1.6542,,
2020-06-10,3,4213,15.1172,,
2020-06-11,9,4974,17.5512,,
2020-06-11,3,4379,15.4517,,
2020-06-11,0,464,1.6373,,
2020-06-11,1,6319,22.2971,,
2020-06-11,2,12204,43.0628,,
2020-06-12,3,4579,15.7213,,
2020-06-12,0,467,1.6034,,
2020-06-12,1,6396,21.9598,,
2020-06-12,2,12617,43.3187,,
2020-06-12,9,5067,17.3968,,
2020-06-13,9,5012,16.9663,,
2020-06-13,3,4720,15.9778,,
2020-06-13,0,467,1.5809,,
2020-06-13,1,6500,22.0033,,
2020-06-13,2,12842,43.4718,,
2020-06-14,3,4893,16.0785,,
2020-06-14,0,469,1.5411,,
2020-06-14,1,6570,21.5891,,
2020-06-14,2,12989,42.682,,
2020-06-14,9,5511,18.1092,,
2020-06-15,3,4960,15.9178,,
2020-06-15,0,472,1.5148,,
2020-06-15,1,6632,21.2837,,
2020-06-15,2,13117,42.0956,,
2020-06-15,9,5979,19.1881,,
2020-06-16,3,5072,15.9347,,
2020-06-16,0,484,1.5206,,
2020-06-16,1,6712,21.087,,
2020-06-16,2,13346,41.929,,
2020-06-16,9,6216,19.5287,,
2020-06-17,9,6050,18.8221,,
2020-06-17,3,5209,16.2057,,
2020-06-17,2,13596,42.2985,,
2020-06-17,0,487,1.5151,,
2020-06-17,1,6801,21.1586,,
2020-06-18,3,5360,16.327,,
2020-06-18,0,492,1.4987,,
2020-06-18,1,6895,21.0028,,
2020-06-18,2,13903,42.3498,,
2020-06-18,9,6179,18.8218,,
2020-06-19,3,5525,16.2419,,
2020-06-19,0,501,1.4728,,
2020-06-19,1,7075,20.7984,,
2020-06-19,2,14235,41.8467,,
2020-06-19,9,6681,19.6402,,
2020-06-20,3,5679,16.4867,,
2020-06-20,9,6569,19.0704,,
2020-06-20,2,14477,42.0281,,
2020-06-20,1,7218,20.9545,,
2020-06-20,0,503,1.4603,,
2020-06-21,3,5779,16.4634,,
2020-06-21,0,512,1.4586,,
2020-06-21,1,7312,20.8307,,
2020-06-21,2,14657,41.7555,,
2020-06-21,9,6842,19.4918,,
2020-06-22,9,6858,19.2895,,
2020-06-22,3,5902,16.6006,,
2020-06-22,0,520,1.4626,,
2020-06-22,1,7404,20.8252,,
2020-06-22,2,14869,41.8221,,
2020-06-23,9,5872,16.175,,
2020-06-23,3,6208,17.1005,,
2020-06-23,0,523,1.4407,,
2020-06-23,1,8010,22.0643,,
2020-06-23,2,15690,43.2196,,
2020-06-24,3,6368,17.1022,,
2020-06-24,0,528,1.418,,
2020-06-24,1,8117,21.7994,,
2020-06-24,2,15994,42.9542,,
2020-06-24,9,6228,16.7262,,
2020-06-25,9,6374,16.7587,2,0.3
2020-06-25,5,39,0.1025,1,0.1
2020-06-25,4,61,0.1604,1,0.1
2020-06-25,0,537,1.4119,11,1.9
2020-06-25,1,8235,21.6517,193,34.0
2020-06-25,2,16340,42.9616,327,57.6
2020-06-25,3,6448,16.9533,32,5.6
2020-06-26,9,7045,17.8608,2,0.3466
2020-06-26,0,544,1.3792,11,1.9064
2020-06-26,4,60,0.1521,0,0.0
2020-06-26,3,6592,16.7123,32,5.5459
2020-06-26,1,8390,21.2707,198,34.3154
2020-06-26,2,16774,42.5261,333,57.7123
2020-06-26,5,39,0.0989,1,0.1733
